1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.745523	0.000000	6.085013	0.040185	295.3
1	-0.766295	0.000000	6.085013	0.043545	1.1
2	-0.794635	0.000000	6.085013	0.027156	1.1
3	-0.731267	0.000000	6.085013	0.010669	1.2
4	-0.763149	0.854955	5.846971	0.052082	1.4
5	-0.764102	0.346848	5.986143	0.047106	1.3
6	-0.758414	0.000000	6.085013	0.041101	1.2
7	-0.786153	1.000000	5.808422	0.082055	1.2
8	-0.788518	1.999997	5.555882	0.021154	1.1
9	-0.764439	2.999997	5.324387	0.042628	1.0
10	-0.764584	2.491102	5.439731	0.047180	1.2
11	-0.762865	3.491102	5.217621	0.038306	0.9
12	-0.749225	4.491102	5.012937	0.033281	0.9
13	-0.757743	3.986029	5.114269	0.052797	0.9
14	-0.791752	4.986029	4.917461	0.028041	1.0
15	-0.764833	5.986029	4.735238	0.020410	1.1
16	-0.758951	6.984214	4.566335	0.019997	0.9
17	-0.773442	6.775345	4.600673	0.018113	3.3
18	-0.787433	7.742899	4.445803	0.050264	1.6
19	-0.780879	8.742829	4.296339	0.050210	1.2
20	-0.769966	9.742829	4.156588	0.015204	1.5
21	-0.764253	9.232746	4.226718	0.024168	1.0
22	-0.781078	8.737141	4.297161	0.044940	1.3
23	-0.767304	8.245437	4.369409	0.026768	0.9
24	-0.761756	9.245436	4.224944	0.037045	1.4
25	-0.785102	8.735343	4.297421	0.045319	1.0
26	-0.736579	9.735290	4.157608	0.036824	1.0
27	-0.755951	10.735290	4.026599	0.029967	1.0
28	-0.747254	11.735251	3.903599	0.048581	1.0
29	-0.800694	12.735057	3.787908	0.033392	3.4
30	-0.771738	12.224964	3.846062	0.047190	1.3
31	-0.783965	13.145741	3.742349	0.053354	1.3
32	-0.781616	14.145741	3.635868	0.028801	1.4
33	-0.747445	13.635648	3.689415	0.039785	1.1
34	-0.780915	13.126402	3.744470	0.049981	1.2
35	-0.762522	14.126346	3.637876	0.034951	1.2
36	-0.788303	13.616254	3.691482	0.037920	1.0
37	-0.790902	14.616253	3.587836	0.016533	1.0
