1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-1.026056	72.154360	64.082920	0.004724	1.2
117	-1.058913	73.083391	63.450131	0.006794	1.1
118	-1.056365	74.082942	62.783117	0.006595	1.1
119	-1.034351	75.078169	62.132778	0.005492	1.2
120	-1.061971	76.078169	61.492749	0.005389	1.2
121	-1.062858	77.078160	60.865778	0.007277	1.2
122	-1.046444	78.078160	60.251457	0.006809	1.9
123	-1.063852	79.078160	59.649413	0.005062	2.1
124	-1.067006	78.819793	59.803805	0.008798	1.6
125	-1.077002	79.819793	59.210630	0.005454	2.1
126	-1.070112	80.819793	58.629106	0.003845	1.7
127	-1.036321	81.075508	58.482231	0.004787	1.4
128	-1.046671	82.075508	57.914859	0.004027	1.3
129	-1.036913	81.842859	58.045873	0.006036	1.2
130	-1.044031	82.842858	57.486895	0.003243	1.5
131	-1.070844	83.842320	56.938873	0.006264	1.4
132	-1.056450	84.572100	56.545275	0.006498	1.2
133	-1.037161	85.572100	56.014693	0.005915	1.3
134	-1.039282	85.313735	56.150821	0.004317	1.2
135	-1.065739	86.289812	55.639984	0.003415	1.2
136	-1.082213	86.045079	55.767192	0.008454	1.2
137	-1.069675	85.786713	55.902119	0.004179	1.1
138	-1.031275	85.534736	56.034339	0.007526	1.2
139	-1.021951	85.276369	56.170563	0.006922	1.2
140	-1.080241	86.276369	55.646957	0.005799	1.3
141	-1.070922	86.907137	55.321674	0.004676	1.3
142	-1.074885	87.907137	54.813703	0.004054	1.2
143	-1.024815	87.649151	54.943858	0.007478	1.2
144	-1.051243	88.649151	54.442770	0.003704	1.3
145	-1.020609	89.649151	53.950739	0.004442	2.1
146	-1.048411	89.398612	54.073175	0.006514	1.5
147	-1.052731	90.398612	53.587772	0.004276	3.2
148	-1.062776	91.398612	53.111007	0.006624	1.7
149	-1.046823	91.140246	53.233373	0.002707	1.7
150	-1.061833	92.139928	52.763013	0.004573	1.8
151	-1.067537	92.387085	52.648002	0.004195	1.5
152	-1.030295	92.988489	52.370231	0.006227	1.5
153	-1.081011	93.988489	51.914792	0.004305	1.4
154	-1.080365	94.988305	51.467288	0.005993	1.4
155	-1.039246	95.988305	51.027352	0.003993	1.6
156	-1.070035	95.729951	51.140290	0.004702	1.4
157	-1.046412	96.729951	50.705903	0.002472	1.3
158	-1.070558	97.375754	50.429275	0.004398	1.5
159	-1.035611	97.365101	50.433814	0.005207	1.5
160	-1.074844	97.109750	50.542851	0.006518	1.2
161	-1.049287	96.851383	50.653656	0.005191	1.2
162	-1.063108	97.851168	50.227554	0.006191	1.2
163	-1.062655	98.851168	49.808471	0.004469	1.1
164	-1.006410	99.851168	49.396324	0.005967	1.5
165	-1.072628	100.851168	48.990942	0.004383	1.9
166	-1.059966	101.330633	48.798926	0.006120	1.5
167	-1.052798	102.330633	48.403250	0.003293	1.7
168	-1.064303	103.234971	48.050911	0.006030	2.0
169	-1.040396	104.234971	47.667225	0.005460	1.3
170	-1.072756	105.234971	47.289617	0.005932	1.3
171	-1.067075	106.234970	46.917946	0.006115	1.4
172	-1.057549	105.976604	47.013413	0.004146	1.2
173	-1.071537	105.718238	47.109268	0.004429	1.2
174	-1.064954	106.718210	46.740426	0.006976	1.2
175	-1.054953	107.616570	46.413953	0.003889	1.1
176	-1.047010	107.358204	46.507378	0.006190	1.4
177	-1.066837	107.099859	46.601171	0.005201	1.2
178	-1.053102	108.099859	46.240201	0.005726	1.2
179	-1.062614	109.099859	45.884780	0.008067	1.1
180	-1.047590	110.099859	45.534782	0.005866	1.1
181	-1.035214	111.062367	45.202912	0.004182	1.2
182	-1.069267	110.820627	45.285807	0.004502	1.4
183	-1.061563	111.358652	45.101725	0.006789	1.2
184	-1.045285	111.100285	45.189936	0.003951	1.2
185	-1.034416	110.841919	45.278494	0.003280	1.2
186	-1.062800	111.841918	44.937649	0.003144	1.8
187	-1.075558	112.737408	44.636752	0.004655	1.5
188	-1.071168	113.493426	44.385838	0.006682	2.0
189	-1.025971	114.485402	44.060861	0.007492	1.7
190	-1.046826	115.485402	43.738036	0.006950	1.7
191	-1.057215	115.227036	43.820989	0.004030	1.4
192	-1.059058	116.227036	43.501657	0.006595	1.3
193	-1.047585	117.227036	43.186945	0.003384	1.3
194	-1.028046	118.087044	42.919911	0.004805	1.7
195	-1.060944	119.077605	42.616401	0.005878	1.3
196	-1.032331	118.819239	42.695151	0.007486	1.3
197	-1.055948	119.819074	42.392009	0.003736	1.2
198	-1.050209	120.819052	42.093100	0.006484	1.3
199	-1.081346	121.819052	41.798369	0.007446	1.8
200	-1.060243	122.819052	41.507738	0.003713	1.2
201	-1.069559	123.818786	41.221195	0.004612	1.2
202	-1.050765	123.560419	41.294868	0.008426	1.2
203	-1.059953	123.302053	41.368805	0.003340	1.4
204	-1.036974	123.065388	41.436764	0.007090	1.2
205	-1.052092	124.055022	41.154063	0.004843	1.2
206	-1.056968	123.796656	41.227496	0.004979	1.2
207	-1.047023	124.484459	41.032585	0.002507	2.6
208	-1.065654	124.226138	41.105572	0.005724	1.5
