1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.150528	0.000000	15.841727	0.007019	37.4
1	-1.138905	0.000000	15.841727	0.026580	1.0
2	-1.131127	0.000000	15.841727	0.026353	1.0
3	-1.188893	0.000000	15.841727	0.004189	1.0
4	-1.158069	0.999996	15.121651	0.022064	1.0
5	-1.158409	1.999968	14.464205	0.002372	0.9
6	-1.158435	2.996560	13.863499	0.004557	0.9
7	-1.161943	3.127678	13.788159	0.013079	0.9
8	-1.171384	3.042604	13.836948	0.013679	0.9
9	-1.172215	2.957515	13.886093	0.008319	0.9
10	-1.144997	3.957512	13.329705	0.016490	0.9
11	-1.192299	3.872423	13.375306	0.019668	0.9
12	-1.175745	3.787333	13.421221	0.006716	0.9
13	-1.184513	3.702243	13.467452	0.003779	0.9
14	-1.157101	3.620116	13.512376	0.004089	1.1
15	-1.182168	3.963158	13.326690	0.007055	1.0
16	-1.175189	3.892027	13.364772	0.004379	1.2
17	-1.184171	3.880990	13.370701	0.008985	1.2
18	-1.180765	3.799772	13.414489	0.002454	1.1
19	-1.161574	3.714843	13.460586	0.004514	1.2
20	-1.180656	3.683774	13.477529	0.006712	1.2
21	-1.180968	3.598918	13.524021	0.007362	1.0
22	-1.180560	3.544903	13.553782	0.008609	1.0
23	-1.178181	3.459813	13.600933	0.010258	1.2
24	-1.197309	3.374723	13.648412	0.007060	0.9
25	-1.170033	3.289634	13.696224	0.004017	0.9
26	-1.187104	3.204568	13.744359	0.005370	0.9
27	-1.199403	3.192300	13.751329	0.004892	1.0
28	-1.161514	3.315067	13.681898	0.007969	0.9
29	-1.189563	3.229980	13.729944	0.003195	0.9
30	-1.181452	3.146295	13.777529	0.007012	0.9
31	-1.163203	3.063067	13.825181	0.005216	0.9
32	-1.189208	2.977988	13.874236	0.006713	0.9
33	-1.176830	3.977352	13.319117	0.003188	1.0
34	-1.191208	4.966459	12.811769	0.007347	0.9
35	-1.148643	4.884572	12.852299	0.009020	1.2
36	-1.149252	5.882303	12.375289	0.005281	1.0
37	-1.169113	6.862456	11.939948	0.006658	0.9
38	-1.180277	7.839956	11.535256	0.003078	0.9
39	-1.148443	7.969708	11.483591	0.003833	0.9
40	-1.164868	7.897341	11.512349	0.005634	1.0
41	-1.194663	8.264543	11.367896	0.004210	0.9
42	-1.201577	8.179511	11.401023	0.008785	1.0
43	-1.148018	9.179456	11.023269	0.008686	1.1
44	-1.185155	10.179455	10.669727	0.001986	0.9
45	-1.183006	10.973419	10.404776	0.002591	1.3
46	-1.163639	10.918019	10.422836	0.008847	0.9
47	-1.182205	10.833329	10.450565	0.010307	1.2
48	-1.175098	11.833329	10.132273	0.003256	1.3
49	-1.172277	12.828890	9.834088	0.005670	1.0
50	-1.167155	12.793873	9.844278	0.005476	1.0
51	-1.186668	12.708785	9.869127	0.003265	1.0
52	-1.183553	13.618560	9.609766	0.007535	1.2
53	-1.192961	13.562770	9.625278	0.005847	1.0
54	-1.170495	13.477692	9.649030	0.007399	1.3
55	-1.183576	14.477684	9.377057	0.007621	0.9
56	-1.176230	14.623656	9.338634	0.007601	0.9
57	-1.203048	14.854973	9.278386	0.004588	0.9
58	-1.167923	15.853514	9.026989	0.012229	0.9
59	-1.213775	16.853509	8.788519	0.009592	0.9
60	-1.190393	16.768420	8.808318	0.005361	0.9
61	-1.179592	16.683330	8.828208	0.001868	0.9
62	-1.182593	16.629990	8.840722	0.003830	1.0
63	-1.173122	16.956774	8.764609	0.003604	0.9
64	-1.177237	17.690391	8.598421	0.003158	0.9
65	-1.170627	17.978658	8.534831	0.006205	0.9
66	-1.185489	17.894580	8.553281	0.004790	1.0
67	-1.193570	18.883337	8.341234	0.012888	0.9
68	-1.181994	19.883337	8.137209	0.004861	0.9
69	-1.179933	20.883337	7.942926	0.005332	0.9
70	-1.158762	20.798575	7.959034	0.002508	0.9
71	-1.194940	20.721044	7.973824	0.005591	0.9
72	-1.192049	20.637245	7.989872	0.003102	0.9
73	-1.200458	21.186790	7.885792	0.006460	0.9
74	-1.187992	22.040648	7.729351	0.008088	1.0
75	-1.179622	21.955558	7.744662	0.003023	1.1
76	-1.184299	22.584808	7.632849	0.008068	1.3
77	-1.174338	23.233984	7.520830	0.013086	0.9
78	-1.213051	24.233969	7.354567	0.009574	1.1
79	-1.163512	25.233969	7.195494	0.010143	1.4
80	-1.218776	26.233969	7.043157	0.002525	1.1
81	-1.165749	26.148915	7.055863	0.007969	1.0
82	-1.175755	26.066152	7.068270	0.006609	1.0
83	-1.156264	27.066152	6.921217	0.008857	1.0
84	-1.173581	26.983115	6.933194	0.007621	1.0
85	-1.172843	27.983115	6.791652	0.004428	1.2
86	-1.173436	27.909952	6.801811	0.004749	0.9
87	-1.154324	27.864145	6.808188	0.004521	0.9
88	-1.188345	27.779133	6.820053	0.006860	0.9
89	-1.194734	28.652729	6.700060	0.009483	1.0
90	-1.159710	28.567639	6.711562	0.003888	0.9
91	-1.135760	28.485898	6.722648	0.006907	0.9
92	-1.179925	29.398128	6.600965	0.001744	1.0
93	-1.162716	29.495921	6.588181	0.004362	1.0
94	-1.179503	29.431049	6.596656	0.004976	0.9
95	-1.188480	29.364894	6.605321	0.004926	0.9
96	-1.176816	29.279855	6.616492	0.005840	0.9
97	-1.178504	29.522527	6.584712	0.006090	0.9
98	-1.202637	29.495000	6.588301	0.011823	0.9
99	-1.172922	29.409910	6.599422	0.007874	0.9
100	-1.181006	30.409910	6.471053	0.001510	0.9
101	-1.151175	30.388856	6.473705	0.008825	0.9
102	-1.152564	30.533414	6.455545	0.007870	0.9
103	-1.198581	31.533394	6.332663	0.004951	0.9
104	-1.208836	31.448307	6.342936	0.007940	0.9
105	-1.181445	31.380064	6.351200	0.003352	0.9
106	-1.182989	32.250828	6.247345	0.012711	1.0
107	-1.152550	32.284111	6.243442	0.002743	1.2
108	-1.136113	32.199022	6.253428	0.003036	1.0
109	-1.173064	32.686964	6.196593	0.003519	1.2
110	-1.173862	32.855396	6.177213	0.002560	1.2
111	-1.167985	32.810277	6.182393	0.007967	1.2
112	-1.198443	33.308621	6.125662	0.009726	1.0
113	-1.173754	33.223531	6.135275	0.003418	1.0
114	-1.194846	33.138443	6.144918	0.003710	1.0
115	-1.183273	33.840299	6.066274	0.005453	1.2
116	-1.186526	34.726397	5.969815	0.007149	1.0
117	-1.190299	34.641310	5.978944	0.004219	1.0
118	-1.143475	35.624302	5.875150	0.001697	0.9
119	-1.158862	35.561961	5.881625	0.007159	0.9
120	-1.187275	35.480492	5.890109	0.005157	0.9
121	-1.167374	35.395405	5.898996	0.010098	0.9
122	-1.172131	36.395404	5.796218	0.003657	0.9
123	-1.157921	36.310318	5.804823	0.005061	0.9
124	-1.159284	37.253976	5.710791	0.002691	0.9
125	-1.166755	38.104181	5.628642	0.014185	1.1
126	-1.225944	39.103998	5.535011	0.003501	1.2
127	-1.189655	39.029231	5.541904	0.001078	1.0
128	-1.197445	38.985860	5.545911	0.009181	1.0
129	-1.175455	39.418324	5.506215	0.005770	1.0
130	-1.196488	40.418324	5.416564	0.005033	1.0
131	-1.157998	41.417475	5.329858	0.009592	1.0
132	-1.193744	41.332385	5.337134	0.008420	1.0
133	-1.210976	42.332385	5.252862	0.002990	1.0
134	-1.156809	43.265333	5.176605	0.003148	0.9
135	-1.172354	43.203708	5.181574	0.004004	0.9
136	-1.156610	43.534550	5.155010	0.005777	0.9
137	-1.169262	44.476516	5.080849	0.008737	1.4
138	-1.188994	45.476478	5.004421	0.008020	1.1
139	-1.186290	46.476476	4.930256	0.004737	0.9
140	-1.163112	46.391387	4.936481	0.001400	1.2
141	-1.182205	46.322688	4.941518	0.002705	1.2
142	-1.141310	46.456634	4.931706	0.012289	1.6
143	-1.182896	47.174070	4.879806	0.010736	1.0
144	-1.158772	47.088980	4.885905	0.010534	1.0
145	-1.189792	48.088980	4.815186	0.009629	1.0
146	-1.190430	48.003891	4.821123	0.006597	1.1
147	-1.190022	48.404710	4.793281	0.006922	1.0
148	-1.173677	48.319620	4.799165	0.003393	1.0
149	-1.162753	48.235707	4.804981	0.005499	0.9
150	-1.150902	48.197776	4.807615	0.004877	1.0
151	-1.184210	48.128899	4.812405	0.002732	0.9
152	-1.200398	48.102972	4.814211	0.002904	1.3
153	-1.174095	48.104489	4.814105	0.001373	0.9
154	-1.166511	48.087739	4.815272	0.010945	1.1
155	-1.151889	48.791272	4.766732	0.004521	1.0
156	-1.198752	48.856564	4.762276	0.004044	1.0
157	-1.159351	48.889102	4.760059	0.006260	0.9
158	-1.160771	48.804025	4.765861	0.002607	1.0
159	-1.202184	48.723462	4.771368	0.001839	1.1
160	-1.175234	48.702031	4.772835	0.008184	1.1
161	-1.177610	48.819615	4.764797	0.005754	1.2
162	-1.206911	48.734525	4.770611	0.008684	1.1
163	-1.206186	49.734525	4.703167	0.012296	1.0
164	-1.174963	49.649436	4.708831	0.003569	0.9
165	-1.187011	49.564346	4.714509	0.006882	0.9
166	-1.222971	49.479281	4.720200	0.011670	1.4
167	-1.196501	50.479281	4.654164	0.006311	1.0
168	-1.179821	51.479281	4.589950	0.002600	1.3
169	-1.171906	51.443887	4.592192	0.008249	1.2
170	-1.184089	51.537097	4.586291	0.005278	1.0
171	-1.173276	51.820886	4.568418	0.004314	1.0
172	-1.189268	51.736074	4.573745	0.007163	1.1
173	-1.162278	51.652032	4.579036	0.007109	1.0
174	-1.159731	51.610818	4.581635	0.008709	1.0
175	-1.170270	52.608884	4.519512	0.002300	1.0
176	-1.187297	52.585169	4.520969	0.003366	1.0
177	-1.212752	52.525331	4.524648	0.010822	1.2
178	-1.180621	53.256466	4.480098	0.001828	0.9
179	-1.196248	53.180981	4.484657	0.004941	0.9
180	-1.186588	53.189163	4.484163	0.012459	1.0
181	-1.167638	53.856687	4.444176	0.009097	1.2
182	-1.163285	53.771598	4.449233	0.002450	0.9
183	-1.182067	53.686725	4.454289	0.005792	0.9
184	-1.149053	54.557957	4.402928	0.006720	0.9
185	-1.195189	54.475731	4.407725	0.007794	0.9
186	-1.181164	54.390664	4.412698	0.009084	0.9
187	-1.186560	55.390664	4.354934	0.002242	1.0
188	-1.173613	56.377641	4.299385	0.002403	0.9
189	-1.166849	56.454655	4.295110	0.006133	0.9
190	-1.150227	57.258440	4.250995	0.001267	0.9
191	-1.179681	57.627470	4.231044	0.002317	0.9
192	-1.178074	57.611082	4.231926	0.006526	0.9
193	-1.174033	58.055189	4.208152	0.005864	0.9
194	-1.167256	59.055086	4.155592	0.006918	1.1
195	-1.156582	58.970035	4.160012	0.007361	0.9
196	-1.166886	59.970031	4.108635	0.002590	1.0
197	-1.175478	60.946232	4.059690	0.014186	1.3
198	-1.176412	61.946135	4.010751	0.004739	0.9
199	-1.153340	62.946135	3.962973	0.005119	1.2
200	-1.187028	63.907970	3.918081	0.007675	1.2
201	-1.203128	64.885809	3.873472	0.005049	1.1
202	-1.174441	64.803527	3.877186	0.002706	1.2
203	-1.171035	65.532991	3.844502	0.006872	1.1
204	-1.169232	66.513101	3.801445	0.005012	1.1
205	-1.175888	66.435574	3.804816	0.004727	1.1
206	-1.188957	67.432474	3.761924	0.004938	1.1
207	-1.209221	67.348302	3.765508	0.003061	1.0
208	-1.159470	68.021380	3.737038	0.010980	1.0
209	-1.180020	67.937102	3.740579	0.010420	1.1
210	-1.158400	67.852012	3.744161	0.001529	1.1
211	-1.148381	68.740044	3.707111	0.011015	1.1
212	-1.167595	68.656657	3.710558	0.004425	1.0
213	-1.185759	68.571568	3.714083	0.005032	1.0
214	-1.194347	68.486602	3.717610	0.001689	1.1
215	-1.185209	68.534587	3.715617	0.002161	1.1
216	-1.173660	68.581508	3.713671	0.007546	1.0
217	-1.170125	68.549135	3.715014	0.003859	0.9
218	-1.184239	68.464245	3.718539	0.003027	1.0
219	-1.178189	68.411063	3.720751	0.007521	0.9
220	-1.178546	68.987196	3.696929	0.002178	0.9
221	-1.169393	69.679285	3.668713	0.002667	1.0
222	-1.163313	69.606805	3.671648	0.003180	1.0
223	-1.190385	70.032273	3.654487	0.006240	1.1
224	-1.188000	69.982376	3.656491	0.005596	1.1
225	-1.179658	70.982286	3.616743	0.011130	1.1
226	-1.162360	70.897197	3.620092	0.009900	1.7
227	-1.185103	71.897197	3.581123	0.008618	1.1
228	-1.165663	72.089403	3.573729	0.005566	1.3
229	-1.182090	72.155134	3.571207	0.002705	1.2
230	-1.166830	72.184194	3.570093	0.004496	1.3
231	-1.193984	72.116716	3.572680	0.007677	1.3
232	-1.179240	72.032861	3.575901	0.004060	1.2
233	-1.170924	71.947818	3.579172	0.006406	1.1
234	-1.175387	71.862788	3.582450	0.007661	1.3
235	-1.179812	71.945599	3.579258	0.012704	1.1
236	-1.138339	72.945579	3.541159	0.003824	1.1
237	-1.197124	72.860489	3.544370	0.006407	1.1
238	-1.161256	73.837278	3.507864	0.001909	1.1
239	-1.199831	74.281915	3.491494	0.005782	1.2
240	-1.220238	74.299376	3.490855	0.004496	1.1
241	-1.190227	74.215036	3.493947	0.004765	0.9
242	-1.205341	74.335923	3.489516	0.001811	1.1
243	-1.175192	74.736094	3.474930	0.006711	1.1
244	-1.172686	74.668102	3.477400	0.006828	1.1
245	-1.174092	74.583012	3.480496	0.005999	1.1
246	-1.213772	75.582999	3.444460	0.007111	1.1
247	-1.180533	76.582995	3.409162	0.011874	2.0
248	-1.173174	77.581542	3.374630	0.009489	1.6
249	-1.181553	77.496452	3.377546	0.002603	1.1
