1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.854767	0.000000	364.686472	0.014912	73.0
1	-0.850661	0.000000	364.686472	0.018986	1.4
2	-0.827688	1.000000	348.109814	0.017236	1.3
3	-0.832356	2.000000	332.974605	0.018518	1.3
4	-0.831026	3.000000	319.100663	0.013619	1.3
5	-0.869036	3.990065	306.458428	0.020064	1.2
6	-0.850780	3.192852	316.556965	0.016736	1.1
7	-0.843196	4.192852	303.991617	0.019857	1.1
8	-0.817396	5.192852	292.385717	0.017809	1.1
9	-0.861867	6.192852	281.633417	0.023275	1.1
10	-0.830541	7.192281	271.649390	0.020729	1.2
11	-0.825296	8.192281	262.343869	0.018304	1.1
12	-0.859182	7.395069	269.709365	0.015587	1.1
13	-0.880899	7.616115	267.625986	0.017061	1.1
14	-0.857095	8.616115	258.589487	0.016300	1.1
15	-0.847873	7.819047	265.741467	0.019585	1.1
16	-0.850722	8.819047	256.829664	0.019390	1.1
17	-0.868663	9.819047	248.496193	0.020120	1.1
18	-0.863021	9.021835	255.094864	0.019320	1.1
19	-0.873836	10.021835	246.871789	0.014766	1.1
20	-0.839617	9.224623	253.383342	0.019781	1.1
21	-0.869620	10.224623	245.268486	0.018007	1.1
22	-0.877744	11.224623	237.657272	0.015958	1.4
23	-0.868800	12.224623	230.504226	0.016706	1.6
24	-0.856736	13.224623	223.769185	0.013813	1.8
25	-0.888371	14.224623	217.416550	0.011716	2.0
26	-0.890392	15.212410	211.485949	0.017965	1.3
27	-0.896411	16.212410	205.802738	0.016365	1.3
28	-0.861645	15.418545	210.288902	0.021930	1.3
29	-0.891466	16.418545	204.668990	0.019570	1.5
30	-0.888638	17.418545	199.341642	0.016723	1.2
31	-0.875029	18.418545	194.284589	0.016425	1.2
32	-0.883131	19.418545	189.477771	0.012007	1.2
33	-0.903941	20.418545	184.903063	0.015877	1.1
34	-0.887260	21.418545	180.544048	0.016257	1.1
35	-0.901689	22.418249	176.387028	0.017006	1.1
36	-0.889486	23.418249	172.415980	0.016060	1.1
37	-0.897694	24.418249	168.619797	0.016682	1.1
38	-0.897004	23.621037	171.632407	0.015682	1.1
39	-0.899846	22.836825	174.702797	0.020251	1.1
40	-0.909858	23.836825	170.806384	0.021322	1.2
41	-0.890047	24.836825	167.079983	0.017975	1.1
42	-0.879012	24.044346	170.019471	0.016392	1.1
43	-0.873868	25.044346	166.326955	0.016599	1.1
44	-0.915835	26.044346	162.791419	0.019049	1.1
45	-0.900514	27.044346	159.403062	0.014592	1.1
46	-0.905372	28.044346	156.152880	0.014932	1.1
47	-0.903521	29.044346	153.032590	0.014147	1.1
48	-0.932539	28.247134	155.509880	0.020981	1.4
49	-0.923870	29.247134	152.414980	0.017971	1.3
50	-0.914330	30.247134	149.440863	0.013526	1.7
51	-0.905530	29.449922	151.802335	0.018651	1.7
52	-0.882235	30.449922	148.851848	0.016276	1.6
53	-0.922392	31.449922	146.013867	0.016831	1.3
54	-0.909258	32.449922	143.282079	0.016068	1.3
55	-0.879917	33.313512	141.003881	0.020026	1.3
56	-0.925959	32.516653	143.103417	0.020963	1.3
57	-0.870774	33.516653	140.478468	0.020264	1.2
58	-0.899115	34.516653	137.948084	0.014098	1.1
59	-0.925254	33.719441	139.957861	0.020466	1.1
60	-0.899436	34.719441	137.446030	0.018728	1.1
61	-0.892190	35.719441	135.022768	0.016385	1.1
62	-0.926682	34.922228	136.947617	0.020904	1.1
