1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.915621	0.000000	210.018066	0.009160	24.3
1	-0.944191	0.000000	210.018066	0.008243	1.5
2	-0.925685	0.994751	200.519629	0.009727	2.0
3	-0.929194	0.197619	208.060128	0.009313	1.7
4	-0.915510	1.197619	198.687049	0.009520	1.5
5	-0.907180	1.011825	200.364093	0.009764	1.4
6	-0.905061	2.009931	191.672864	0.008131	1.5
7	-0.952413	2.992602	183.822468	0.009702	1.2
8	-0.932427	3.992602	176.467393	0.010947	1.2
9	-0.922752	4.992584	169.678374	0.011369	1.5
10	-0.940891	5.992444	163.393108	0.007929	1.2
11	-0.936974	6.992444	157.556065	0.009644	1.3
12	-0.958779	6.193921	162.182550	0.008263	1.2
13	-0.948926	6.104133	162.719813	0.008219	1.1
14	-0.968357	7.079534	157.067398	0.011960	1.3
15	-0.933469	6.283883	161.647792	0.009950	1.3
16	-0.913652	7.161283	156.611449	0.008988	1.4
17	-0.947334	6.362760	161.181819	0.012695	1.2
18	-0.956962	7.362760	155.498951	0.006164	1.2
19	-0.969920	7.591172	154.256687	0.009020	1.1
20	-0.937786	8.590934	149.044955	0.011308	1.1
21	-0.951951	9.590934	144.172761	0.009487	1.2
22	-0.943453	10.590934	139.609023	0.007327	1.2
23	-0.923468	11.590934	135.325346	0.011030	2.0
24	-0.944002	12.588911	131.304626	0.008987	1.8
25	-0.938043	12.095645	133.261625	0.007499	1.7
26	-0.949567	11.297129	136.556392	0.007976	1.7
27	-0.931083	12.016561	133.580825	0.007384	1.3
28	-0.939171	13.016546	129.653945	0.008952	1.3
29	-0.926546	14.011698	125.968737	0.010005	1.4
30	-0.946849	14.844750	123.041154	0.007738	1.6
31	-0.926133	15.844634	119.702083	0.008086	1.3
32	-0.960999	16.680558	117.046552	0.009401	1.2
33	-0.954503	15.915030	119.473812	0.010050	1.2
34	-0.910235	15.117266	122.112771	0.009223	1.2
35	-0.981370	14.318744	124.873620	0.009227	1.2
36	-0.947903	13.640627	127.318115	0.009190	1.2
37	-0.953571	14.115308	125.597060	0.008422	1.6
38	-0.945994	13.317216	128.517982	0.010003	1.6
