1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.171297	0.000000	251.633347	0.006153	19.8
1	-1.184301	0.000000	251.633347	0.005025	1.7
2	-1.191042	1.000000	240.195469	0.003744	1.2
3	-1.207849	0.805625	242.336565	0.004990	1.2
4	-1.209133	0.611195	244.516804	0.004808	1.6
5	-1.186013	0.416764	246.736630	0.002978	1.2
6	-1.172596	0.222334	248.997130	0.004381	1.4
7	-1.189804	0.027904	251.299432	0.002668	1.6
8	-1.213873	0.000000	251.633347	0.003134	1.5
9	-1.162754	0.000000	251.633347	0.004355	1.5
10	-1.190756	0.000000	251.633347	0.004102	1.2
11	-1.192728	0.000000	251.633347	0.004114	1.2
12	-1.184625	1.000000	240.195468	0.004370	1.6
13	-1.226940	2.000000	229.752187	0.003248	1.5
14	-1.200086	1.805620	231.710446	0.002261	1.5
15	-1.189090	1.611189	233.702890	0.003214	1.9
16	-1.220978	1.416759	235.729897	0.003784	1.8
17	-1.217221	1.222329	237.792373	0.003446	2.6
18	-1.193153	1.027902	239.891222	0.002567	2.4
19	-1.184067	0.833474	242.027466	0.003883	1.3
20	-1.203201	0.639083	244.201678	0.004956	1.4
21	-1.213102	1.639083	233.414947	0.003763	1.9
22	-1.197478	2.639083	223.540835	0.002936	2.0
23	-1.203559	3.639083	214.468224	0.003172	1.7
24	-1.181884	3.464552	215.998245	0.001764	1.4
25	-1.209306	4.216789	209.554848	0.001568	1.5
26	-1.221545	4.022902	211.178557	0.003831	2.2
27	-1.208464	5.022447	203.066998	0.002481	1.8
28	-1.211199	4.828025	204.595600	0.006718	1.3
29	-1.227740	5.828025	196.969411	0.006140	1.3
30	-1.194506	6.828025	189.891315	0.002373	1.6
31	-1.220887	6.646153	191.140527	0.004659	1.2
32	-1.229127	6.455208	192.469872	0.004072	1.4
33	-1.191526	7.455208	185.705912	0.002136	1.6
34	-1.231782	8.455085	179.401969	0.002022	1.3
35	-1.202955	8.261563	180.588449	0.002666	1.4
36	-1.181512	8.071546	181.768809	0.002111	1.3
37	-1.240972	7.877120	182.992633	0.004490	1.8
38	-1.213250	8.877120	176.867791	0.004530	1.4
39	-1.206435	9.877120	171.139673	0.002739	1.7
40	-1.180319	9.682690	172.224151	0.002158	1.4
41	-1.187726	9.489556	173.315093	0.004037	1.3
42	-1.206981	9.295126	174.427407	0.005895	1.4
43	-1.202883	10.295126	168.853779	0.003820	1.4
44	-1.183745	11.295126	163.625319	0.003260	1.2
45	-1.195055	11.100696	164.616377	0.002748	1.4
46	-1.234128	12.100658	159.643360	0.004450	1.2
47	-1.195975	13.100348	154.963235	0.004957	1.6
48	-1.182873	14.100348	150.548371	0.002820	1.2
49	-1.228299	13.906485	151.384486	0.002600	1.3
50	-1.195313	13.839412	151.675934	0.004688	1.5
51	-1.204263	14.839412	147.443835	0.002836	1.3
52	-1.219217	14.644981	148.248087	0.002723	1.2
53	-1.194477	14.451106	149.058827	0.001932	1.4
54	-1.197843	15.446225	144.988962	0.001866	1.1
55	-1.209283	15.252452	145.763942	0.002905	2.1
56	-1.235058	15.059088	146.545591	0.002341	1.8
57	-1.208576	14.891212	147.231037	0.002532	1.9
58	-1.220753	14.696781	148.032963	0.002742	1.3
59	-1.227131	14.509871	148.812153	0.003476	1.3
60	-1.214311	14.315440	149.631443	0.004791	1.2
61	-1.198391	15.315440	145.511117	0.002035	1.3
62	-1.224407	15.848842	143.404785	0.003837	1.6
63	-1.221918	15.655029	144.163035	0.002729	1.2
64	-1.253837	16.655027	140.334522	0.003666	1.2
65	-1.210463	16.460597	141.062895	0.001839	1.2
66	-1.235204	16.364085	141.427262	0.001982	1.2
67	-1.213177	16.176188	142.142071	0.003598	1.2
68	-1.215774	15.981757	142.889378	0.003028	1.2
69	-1.210972	16.258566	141.827796	0.002481	1.1
70	-1.222100	16.064203	142.571536	0.002490	1.3
71	-1.218698	16.437692	141.149201	0.002297	1.2
72	-1.225233	16.248473	141.866227	0.003346	1.2
73	-1.220118	16.054043	142.610628	0.004021	1.2
74	-1.207428	17.054043	138.863047	0.002991	1.2
75	-1.210615	16.859860	139.575271	0.003426	1.2
76	-1.207193	16.665929	140.293905	0.005534	1.2
77	-1.238500	17.665929	136.665545	0.003601	1.5
78	-1.239860	18.665929	133.220131	0.002948	2.4
79	-1.224568	18.471500	133.876350	0.004443	2.4
80	-1.212895	18.350161	134.289165	0.003350	1.4
81	-1.234330	19.350161	130.961070	0.005574	1.7
82	-1.237708	20.350161	127.793946	0.006937	1.6
83	-1.240692	21.350161	124.776391	0.001346	1.6
84	-1.203608	21.462754	124.445540	0.004026	2.0
85	-1.236571	22.411900	121.724694	0.003741	1.6
86	-1.209495	23.411900	118.983882	0.002555	1.3
87	-1.215644	23.218035	119.505542	0.002587	1.1
88	-1.194332	23.024302	120.031438	0.002221	1.2
89	-1.217301	22.992461	120.118315	0.003188	1.1
90	-1.212128	22.798031	120.651549	0.002981	1.1
91	-1.196403	22.603603	121.189534	0.003068	1.7
92	-1.199467	22.409172	121.732344	0.004611	1.2
93	-1.244615	23.409172	118.991191	0.001820	1.5
94	-1.218383	23.232869	119.465467	0.004707	1.5
95	-1.178862	23.038438	119.992908	0.004387	1.1
96	-1.184838	24.038438	117.328675	0.003991	1.1
97	-1.232999	23.844008	117.837377	0.004094	1.2
98	-1.211015	24.844008	115.266979	0.002382	2.0
99	-1.212840	25.844008	112.806323	0.004537	1.8
100	-1.224997	25.649622	113.276379	0.004601	1.8
101	-1.218427	26.648131	110.902571	0.004756	1.3
102	-1.223157	26.479965	111.295370	0.003922	1.5
103	-1.231168	27.210134	109.609740	0.003763	1.5
104	-1.212384	28.203411	107.397031	0.002955	1.3
105	-1.211709	28.044528	107.744952	0.002055	1.2
106	-1.195649	27.948656	107.955984	0.002851	1.2
107	-1.226980	27.754226	108.386509	0.003055	1.1
108	-1.230146	28.754226	106.208070	0.002844	1.2
109	-1.229932	29.754198	104.115531	0.002673	1.2
110	-1.214642	30.754198	102.103800	0.004022	1.2
111	-1.216499	30.559768	102.488830	0.002107	1.6
112	-1.184384	30.365341	102.876768	0.002771	1.7
113	-1.190944	31.365228	100.912390	0.002978	1.7
114	-1.212259	31.171222	101.287647	0.002608	1.4
115	-1.216284	31.228595	101.176383	0.005481	1.3
116	-1.227634	32.228595	99.275593	0.003801	1.2
117	-1.237261	32.034164	99.639550	0.002485	1.2
118	-1.197976	33.034164	97.795540	0.001782	1.2
119	-1.244081	34.033719	96.019320	0.001366	1.4
120	-1.215600	33.844848	96.349986	0.002662	1.3
121	-1.233871	33.653031	96.688146	0.002803	1.5
122	-1.207865	34.653029	94.950812	0.002976	2.1
123	-1.166275	35.652857	93.275089	0.001398	2.0
124	-1.212572	35.508654	93.513116	0.002297	1.4
125	-1.223981	36.456773	91.970015	0.002029	1.4
126	-1.205382	36.262343	92.282293	0.001897	1.3
127	-1.248005	37.261590	90.699555	0.002678	1.3
128	-1.193002	38.261541	89.169133	0.002763	1.2
129	-1.186568	38.067111	89.462650	0.002909	1.4
130	-1.234961	39.067111	87.973272	0.002711	1.3
131	-1.233680	38.872681	88.258956	0.003109	1.2
132	-1.249422	39.872650	86.809105	0.001327	1.2
133	-1.221795	39.678545	87.086800	0.002621	1.2
134	-1.228185	39.794818	86.920241	0.004405	1.2
135	-1.226355	40.794818	85.513647	0.001923	1.2
136	-1.215721	41.790504	84.157634	0.003259	1.2
137	-1.246248	42.496917	83.221368	0.001585	1.2
138	-1.238805	43.496861	81.931124	0.001920	1.2
139	-1.193328	44.366618	80.840961	0.002274	1.2
140	-1.207376	44.233878	81.005460	0.002014	1.4
141	-1.215093	45.231486	79.785320	0.003250	1.2
142	-1.203948	45.037084	80.020194	0.001998	1.2
143	-1.218922	46.037083	78.826524	0.003914	1.2
144	-1.210192	45.842653	79.055813	0.002670	1.8
145	-1.212257	46.842647	77.890538	0.002525	1.6
146	-1.203773	47.790792	76.816972	0.004704	1.6
147	-1.197478	47.596361	77.034703	0.001777	1.3
148	-1.209390	48.577716	75.948171	0.003636	1.4
149	-1.205918	49.577334	74.872484	0.002580	1.3
150	-1.218754	49.382906	75.079314	0.005571	1.3
151	-1.234581	49.645085	74.800679	0.004395	1.2
152	-1.201078	49.457093	75.000260	0.003170	1.2
153	-1.230820	50.457093	73.950676	0.001817	1.3
154	-1.211294	51.446080	72.941149	0.005102	1.3
155	-1.211893	51.251649	73.137435	0.002270	1.5
156	-1.215755	51.057219	73.334780	0.002934	1.4
157	-1.243538	51.891639	72.495287	0.001928	1.5
158	-1.218299	52.487268	71.907698	0.003291	1.2
159	-1.202401	52.292839	72.098453	0.004641	1.2
160	-1.195104	52.098537	72.290096	0.001845	1.5
161	-1.242222	53.098537	71.314502	0.004439	1.2
162	-1.191980	54.064993	70.396333	0.004744	1.2
163	-1.220003	53.870563	70.579145	0.001897	1.3
164	-1.241668	54.870562	69.648888	0.001758	1.2
165	-1.243725	55.754531	68.846753	0.003662	1.2
166	-1.212066	56.754524	67.961323	0.003027	1.4
167	-1.247992	57.683683	67.158782	0.002504	1.5
168	-1.224507	57.489284	67.325118	0.002820	1.6
169	-1.236372	57.297878	67.489700	0.002120	1.7
170	-1.224122	57.107394	67.654290	0.002707	1.5
171	-1.247628	56.949318	67.791488	0.002399	1.3
172	-1.226501	56.992455	67.753993	0.002624	1.3
173	-1.236529	56.798802	67.922644	0.003436	1.4
174	-1.218288	57.798802	67.060668	0.002165	1.3
175	-1.215168	57.912765	66.963822	0.002013	1.3
176	-1.212368	57.719891	67.127892	0.001583	1.1
