1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.864284	0.000000	7.987744	0.035957	80.6
1	-0.864947	0.000000	7.987744	0.017328	0.9
2	-0.906224	0.000000	7.987744	0.018658	1.0
3	-0.882719	0.999270	7.624918	0.036359	0.9
4	-0.882398	1.999264	7.293391	0.018617	0.9
5	-0.889082	2.852562	7.032478	0.010554	1.0
6	-0.867904	2.432235	7.158626	0.005958	0.9
7	-0.871965	2.638732	7.096092	0.019461	1.0
8	-0.886833	2.562878	7.118936	0.007959	1.0
9	-0.886477	2.282348	7.204712	0.019467	0.9
10	-0.889444	1.860622	7.337623	0.010992	0.9
11	-0.886056	1.738364	7.377075	0.003596	0.9
12	-0.889202	1.516820	7.449658	0.020485	0.9
13	-0.873891	2.139863	7.249076	0.019422	0.9
14	-0.883017	1.694514	7.391329	0.027516	0.9
15	-0.884379	1.249741	7.539082	0.006113	0.9
16	-0.887570	0.854441	7.675448	0.032929	0.9
17	-0.932492	1.686480	7.393946	0.014012	1.2
18	-0.881517	2.686463	7.081793	0.013570	1.2
19	-0.884249	3.663949	6.801126	0.009891	1.1
20	-0.891318	3.437193	6.864234	0.005595	1.0
21	-0.874155	3.893981	6.738280	0.014043	1.5
22	-0.889128	3.704477	6.789968	0.015677	1.3
23	-0.882469	4.581246	6.557250	0.024113	2.2
24	-0.899536	4.147230	6.670421	0.017140	1.1
25	-0.884762	4.198933	6.656735	0.010294	1.0
26	-0.883601	5.066882	6.435086	0.016127	0.9
27	-0.899617	6.014718	6.209305	0.021950	1.0
28	-0.898512	5.753249	6.269990	0.018424	0.9
29	-0.893811	6.056438	6.199730	0.007644	0.9
30	-0.896754	5.688005	6.285319	0.017779	1.1
31	-0.874143	5.420248	6.349018	0.006149	1.2
32	-0.893073	5.862784	6.244424	0.017598	1.1
33	-0.872094	5.890953	6.237883	0.015531	1.0
34	-0.880679	5.446062	6.342820	0.010823	1.1
35	-0.906899	5.010981	6.448916	0.005824	1.2
36	-0.888057	5.269454	6.385463	0.021420	1.0
37	-0.897970	5.609982	6.303748	0.035398	1.0
38	-0.891135	6.609982	6.075434	0.004540	1.0
39	-0.883694	6.182975	6.170871	0.027483	0.9
40	-0.901493	7.049752	5.980182	0.026486	1.0
41	-0.897751	6.604248	6.076696	0.013460	0.9
42	-0.888591	7.601893	5.864738	0.009920	0.9
43	-0.866303	8.149124	5.754637	0.012788	0.9
44	-0.905059	7.731784	5.838225	0.021395	0.9
45	-0.906280	7.286830	5.930061	0.029584	0.9
46	-0.872729	8.286824	5.727580	0.031985	1.1
47	-0.908686	7.841320	5.816052	0.012899	0.9
48	-0.890003	8.841157	5.621183	0.018074	1.0
49	-0.862895	9.824544	5.441852	0.017893	0.9
50	-0.897634	10.815450	5.272364	0.012238	0.9
51	-0.888675	10.378012	5.345865	0.021168	0.9
52	-0.906982	9.947238	5.420278	0.024674	0.9
53	-0.888044	9.502139	5.499372	0.028044	1.2
54	-0.856433	10.501084	5.324979	0.006017	1.1
55	-0.905588	10.266544	5.364924	0.028148	1.1
56	-0.905831	10.390805	5.343686	0.011651	1.1
57	-0.895208	9.948711	5.420020	0.010345	1.1
