1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.995006	0.000000	15.442513	0.016154	38.1
1	-0.954189	0.000000	15.442513	0.014242	1.1
2	-0.999147	1.000000	14.740581	0.004256	1.9
3	-1.013041	1.997813	14.101027	0.010984	1.0
4	-1.031155	2.541228	13.775525	0.004407	1.1
5	-0.976318	2.314405	13.909546	0.004929	1.0
6	-0.991888	2.293911	13.921783	0.012442	1.1
7	-0.994203	2.243393	13.952041	0.005898	1.4
8	-1.008445	1.995014	14.102744	0.003166	1.0
9	-0.983594	1.776705	14.237914	0.002415	1.6
10	-1.010751	2.010578	14.093205	0.004863	1.1
11	-0.995349	1.854082	14.189709	0.005290	1.0
12	-0.989373	1.623006	14.334646	0.013974	1.0
13	-0.981056	1.374069	14.494135	0.010805	1.0
14	-0.999881	2.374069	13.874041	0.016317	1.0
15	-0.997281	2.125113	14.023403	0.006141	0.9
16	-0.997323	3.124808	13.442295	0.010768	0.9
17	-0.974134	3.314317	13.337524	0.013219	0.9
18	-1.017529	4.314306	12.810653	0.014143	0.9
19	-0.996529	4.065351	12.937891	0.012564	0.9
20	-1.000340	5.065351	12.441528	0.007668	0.9
21	-0.984354	4.816430	12.561488	0.016832	0.9
22	-0.986822	5.816362	12.093094	0.006775	0.9
23	-1.014201	5.567897	12.206189	0.005138	1.0
24	-1.001638	5.339395	12.312082	0.013980	0.9
25	-1.014350	5.140886	12.405577	0.003392	0.9
26	-0.994996	5.649385	12.168865	0.016645	0.9
27	-0.983788	6.637100	11.733966	0.017268	0.9
28	-0.989307	7.637100	11.324219	0.019412	0.9
29	-0.971452	7.388144	11.423529	0.020365	1.0
30	-1.001656	8.388144	11.034817	0.012914	0.9
31	-0.954072	9.388144	10.671688	0.009535	0.9
32	-0.981956	9.422415	10.659666	0.005686	1.4
33	-1.005186	9.177623	10.746134	0.011242	1.0
34	-1.002588	10.172462	10.403182	0.017686	1.3
